txn_nm,nom_ty,state_ab,div_nm,ticket,ballot_position,surname,ballot_given_nm,party_ballot_nm,occupation,address_1,address_2,postcode,suburb,address_state_ab,contact_work_ph,contact_home_ph,postal_address_1,postal_address_2,postal_suburb,postal_postcode,contact_fax,postal_state_ab,contact_mobile_no,contact_email
,S,WA,,X,2,MOSELEY,Justin,Australian Christians,,,,,,,,,,,,,,,,
,S,WA,,Y,1,CUTHBERT,Simon Andrew,Secular Party of Australia,,,,,,,,,,,,,,,,
,S,WA,,Y,2,THOMPSON,Andrew,Secular Party of Australia,,,,,,,,,,,,,,,,
,S,WA,,Z,1,FOREMAN,Jane Elizabeth,Rise Up Australia Party,,,,,,,,,,,,,,,,
,S,WA,,Z,2,BENNETT,Joanne,Rise Up Australia Party,,,,,,,,,,,,,,,,
,S,WA,,AA,1,LUDLAM,Scott,The Greens (WA),,,,,,,,,,,,,,,,
,S,WA,,AA,2,CUNNINGHAM,Christine,The Greens (WA),,,,,,,,,,,,,,,,
,S,WA,,AA,3,JAMES,Ian,The Greens (WA),,,,,,,,,,,,,,,,
,S,WA,,AA,4,STEELE-JOHN,Jordon,The Greens (WA),,,,,,,,,,,,,,,,
,S,WA,,AA,5,NIELSEN-HARVEY,Sarah,The Greens (WA),,,,,,,,,,,,,,,,
,S,WA,,AA,6,CULLITY,Judith,The Greens (WA),,,,,,,,,,,,,,,,
,S,WA,,AB,1,GOOD,Adrian,DLP Democratic Labour,,,,,,,,,,,,,,,,
,S,WA,,AB,2,KIERNAN,Cathy,DLP Democratic Labour,,,,,,,,,,,,,,,,
,S,WA,,AC,1,BOUWMAN,Phillip,Katter's Australian Party,,,,,,,,,,,,,,,,
,S,WA,,AC,2,HODDINOTT,Susan,Katter's Australian Party,,,,,,,,,,,,,,,,
,S,WA,,AD,1,LOVE,Katrina,Animal Justice Party,,,,,,,,,,,,,,,,
,S,WA,,AD,2,SUTTON,Alicia,Animal Justice Party,,,,,,,,,,,,,,,,
,S,WA,,AE,1,PATTEN,Fiona,Sex Party,,,,,,,,,,,,,,,,
,S,WA,,AE,2,COLEMAN,Mark,Sex Party,,,,,,,,,,,,,,,,
,S,WA,,AF,1,BAINBRIDGE,Alex,Socialist Alliance,,,,,,,,,,,,,,,,
,S,WA,,AF,2,JENKINS,Chris,Socialist Alliance,,,,,,,,,,,,,,,,
,S,WA,,AG,1,FISHLOCK,David,Outdoor Recreation Party (Stop The Greens),,,,,,,,,,,,,,,,
,S,WA,,AG,2,DE LIMA,Joaquim,Outdoor Recreation Party (Stop The Greens),,,,,,,,,,,,,,,,
,S,WA,,UG,1,VAN LIESHOUT,Teresa,Independent,,,,,,,,,,,,,,,,
,S,WA,,UG,2,MUBARAK,Kim,Independent,,,,,,,,,,,,,,,,
